Nr_miejsca,Kod_kraju,Nazwa
1,GR,Amfíkleia
2,RU,Sosnovyy Bor
3,MY,Melaka
4,IQ,‘Aqrah
5,IE,Donegal
6,CU,Fomento
7,BR,Passos
8,BG,Dolna Banya
9,PH,Malayal
10,PH,Dapdapan
11,DE,Hamburg Winterhude
12,RU,Tutayev
13,CN,Nanfeng
14,IQ,Kifrī
15,PT,São Roque
16,PH,Ualog
17,BG,Blagoevgrad
18,CZ,Břasy
19,HN,El Agua Dulcita
20,PH,Sagrada Familia
21,CN,Gedaliang
22,US,Jeffersonville
23,CN,Muhur
24,PH,Lagawe
25,CN,Sandaohezi
26,ET,Metu
27,US,Phoenix
28,CN,Fenghuang
29,CN,Maqian
30,PH,Bantog
31,BR,Guaratinguetá
32,TJ,Bŭstonqal’a
33,CO,Pital
34,KE,Bungoma
35,ID,Sumberdadi
36,ID,Ciela Lebak
37,RU,Sosnovka
38,CN,Dongxin
39,PT,Mealhada
40,ID,Sukamulya
41,ZA,Mpumalanga
42,CR,Heredia
43,MX,Francisco I Madero
44,ID,Gununglarang
45,PT,Fonte da Aldeia
46,CN,Huakoulongtan
47,JP,Gōdo
48,EG,Kawm Umbū
49,OM,‘Ibrī
50,MU,Mahbourg
51,BR,Taquarituba
52,CN,Taipingchuan
53,CN,Qingjiangqiao
54,FR,Toulouse
55,CL,Bulnes
56,UA,Gradizhsk
57,CN,Xuanhua
58,PH,Cabcaben
59,CN,Zhouling
60,JO,Al Jīzah
61,PH,Bulihan
62,GH,Kasoa
63,ID,Caringin Lor
64,CN,Hede
65,CN,Dajin
66,VN,Tân Hiệp
67,CA,Bridgewater
68,CN,Huangshagang
69,CN,Tangqian
70,JP,Numata
71,CN,Sangtian
72,ID,Cipondok
73,CN,Tianfu
74,ZA,Cofimvaba
75,ES,Madrid
76,BR,Oliveira
77,EE,Tartu
78,NG,Kaduna
79,ES,Badajoz
80,FR,Le Havre
81,CN,Maoya
82,AZ,Khyzy
83,UA,Petrivka
84,FR,Lons-le-Saunier
85,GR,Markópoulo
86,GR,Néa Plágia
87,ID,Nagrog Wetan
88,BR,Balneário Camboriú
89,ID,Pariaman
90,PK,Basīrpur
91,RU,Povarovo
92,SE,Ulricehamn
93,CZ,Dolní Bojanovice
94,BY,Dzyatlava
95,JP,Koga
96,CN,Luozhuang
97,PE,Santa Rosa
98,TH,Roi Et
99,CO,Santo Tomás
100,ID,Karangpocok
